iter	Passed	Remaining
989	65485	661
990	65603	595
991	65786	530
992	65973	465
993	66144	399
994	66339	333
995	66540	267
996	66750	200
997	66852	133
998	66924	66
999	66987	0
